cluster,topic,counts,ratio,rank
0,0,1,0.07692307692307693,3.0
0,1,5,0.38461538461538464,1.0
0,2,1,0.07692307692307693,3.0
0,3,3,0.23076923076923078,2.0
0,4,3,0.23076923076923078,2.0
1,0,3,0.23076923076923078,2.0
1,1,3,0.23076923076923078,2.0
1,2,4,0.3076923076923077,1.0
1,3,1,0.07692307692307693,4.0
1,4,2,0.15384615384615385,3.0
2,0,3,0.2,3.0
2,1,3,0.2,3.0
2,2,5,0.3333333333333333,1.0
2,3,4,0.26666666666666666,2.0
2,4,0,0.0001,4.0
3,0,2,0.2222222222222222,2.0
3,1,4,0.4444444444444444,1.0
3,2,0,0.0001,4.0
3,3,1,0.1111111111111111,3.0
3,4,2,0.2222222222222222,2.0
